"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"13";"***";"";""
"**";"classe";"1";"**";"";""
"****";"38";"649";"5.86";"****";""
" 6";" 10";"60.00";"54.016";"investigate";"1.988621e-13"
" 5";"  8";"62.50";"47.148";"intersect";"6.582871e-12"
" 7";" 15";"46.67";"46.396";"communicate";"9.663380e-12"
" 7";" 21";"33.33";"29.727";"collaborative";"4.974863e-08"
" 4";"  8";"50.00";"28.635";"address";"8.737666e-08"
" 6";" 17";"35.29";"27.446";"problem";"1.615064e-07"
" 4";"  9";"44.44";"24.655";"analyse";"6.856618e-07"
" 9";" 38";"23.68";"23.276";"social";"1.403416e-06"
"17";"112";"15.18";"21.345";"way";"3.835571e-06"
"10";" 49";"20.41";"20.364";"knowledge";"6.402897e-06"
" 2";"  3";"66.67";"20.219";"uncover";"6.904702e-06"
" 2";"  3";"66.67";"20.219";"manner";"6.904702e-06"
" 2";"  3";"66.67";"20.219";"employ";"6.904702e-06"
" 2";"  3";"66.67";"20.219";"embed";"6.904702e-06"
"13";" 77";"16.88";"19.275";"compute";"1.131797e-05"
"10";" 54";"18.52";"17.135";"application";"3.481505e-05"
" 4";" 12";"33.33";"16.747";"web";"4.271865e-05"
" 2";"  4";"50.00";"14.229";"distinct";"1.618708e-04"
" 3";" 10";"30.00";"10.741";"result";"1.047705e-03"
" 3";" 10";"30.00";"10.741";"specific";"1.047705e-03"
" 7";" 44";"15.91";" 8.655";"approach";"3.261253e-03"
" 2";"  6";"33.33";" 8.295";"excite";"3.975069e-03"
" 2";"  6";"33.33";" 8.295";"structure";"3.975069e-03"
" 3";" 12";"25.00";" 8.129";"innovative";"4.355495e-03"
" 6";" 36";"16.67";" 8.082";"computational";"4.470489e-03"
" 2";"  7";"28.57";" 6.624";"type";"1.005913e-02"
" 2";"  7";"28.57";" 6.624";"extend";"1.005913e-02"
"35";"497";" 7.04";" 5.425";"humanity";"1.985173e-02"
" 2";"  8";"25.00";" 5.386";"machine";"2.030208e-02"
" 2";"  8";"25.00";" 5.386";"expression";"2.030208e-02"
" 2";"  8";"25.00";" 5.386";"general";"2.030208e-02"
"19";"214";" 8.88";" 5.294";"technology";"2.139532e-02"
" 4";" 26";"15.38";" 4.462";"concern";"3.465668e-02"
" 2";"  9";"22.22";" 4.435";"insight";"3.520510e-02"
" 1";"  3";"33.33";" 4.128";"preserve";"4.217112e-02"
" 1";"  3";"33.33";" 4.128";"interrogate";"4.217112e-02"
" 1";"  3";"33.33";" 4.128";"trend";"4.217112e-02"
" 1";"  3";"33.33";" 4.128";"sound";"4.217112e-02"
" 1";"  3";"33.33";" 4.128";"potentially";"4.217112e-02"
" 1";"  3";"33.33";" 4.128";"formulate";"4.217112e-02"
" 1";"  3";"33.33";" 4.128";"fail";"4.217112e-02"
" 1";"  3";"33.33";" 4.128";"crossroad";"4.217112e-02"
" 1";"  3";"33.33";" 4.128";"continue";"4.217112e-02"
" 1";"  3";"33.33";" 4.128";"bad";"4.217112e-02"
" 1";"  3";"33.33";" 4.128";"acknowledge";"4.217112e-02"
" 1";"  3";"33.33";" 4.128";"achieve";"4.217112e-02"
" 2";" 10";"20.00";" 3.686";"corpus";"5.485736e-02"
" 1";"  4";"25.00";" 2.676";"ict";"1.018607e-01"
" 1";"  4";"25.00";" 2.676";"engineer";"1.018607e-01"
" 1";"  4";"25.00";" 2.676";"borrow";"1.018607e-01"
" 1";"  4";"25.00";" 2.676";"synthesis";"1.018607e-01"
" 1";"  4";"25.00";" 2.676";"integration";"1.018607e-01"
" 1";"  4";"25.00";" 2.676";"disciplinary";"1.018607e-01"
" 1";"  4";"25.00";" 2.676";"computation";"1.018607e-01"
" 1";"  4";"25.00";" 2.676";"respond";"1.018607e-01"
" 1";"  4";"25.00";" 2.676";"redefine";"1.018607e-01"
" 1";"  4";"25.00";" 2.676";"lens";"1.018607e-01"
" 1";"  4";"25.00";" 2.676";"conventional";"1.018607e-01"
" 1";"  4";"25.00";" 2.676";"adopt";"1.018607e-01"
" 4";" 33";"12.12";" 2.476";"science";"1.155625e-01"
"*****";"*";"*";"*";"*";"*"
" 3";"  5";"60.00";"26.798";"associated";"2.258338e-07"
" 3";" 13";"23.08";" 7.138";"up";"7.548519e-03"
" 5";" 35";"14.29";" 4.770";"within";"2.895934e-02"
" 3";" 17";"17.65";" 4.404";"only";"3.586302e-02"
" 1";"  3";"33.33";" 4.128";"little";"4.217112e-02"
" 1";"  3";"33.33";" 4.128";"ones";"4.217112e-02"
"10";"103";" 9.71";" 3.298";"using";"6.935432e-02"
"13";"150";" 8.67";" 2.798";"new";"9.440853e-02"
" 1";"  4";"25.00";" 2.676";"that_s";"1.018607e-01"
" 1";"  4";"25.00";" 2.676";"course";"1.018607e-01"
" 1";"  4";"25.00";" 2.676";"quite";"1.018607e-01"
" 1";"  4";"25.00";" 2.676";"upon";"1.018607e-01"
" 1";"  4";"25.00";" 2.676";"0";"1.018607e-01"
"*";"*";"*";"*";"*";"*"
"**";"classe";"2";"**";"";""
"****";"49";"649";"7.55";"****";""
" 8";"  9";"88.89";"86.506";"collaborate";"1.393321e-20"
" 5";"  7";"71.43";"41.367";"implication";"1.261382e-10"
" 4";"  5";"80.00";"37.892";"teacher";"7.477381e-10"
" 4";"  5";"80.00";"37.892";"previously";"7.477381e-10"
" 5";"  8";"62.50";"35.039";"collection";"3.231515e-09"
" 7";" 15";"46.67";"33.660";"network";"6.564543e-09"
" 8";" 20";"40.00";"31.131";"public";"2.411852e-08"
" 7";" 17";"41.18";"28.280";"umbrella";"1.049758e-07"
" 4";"  7";"57.14";"24.934";"separate";"5.933617e-07"
" 4";"  7";"57.14";"24.934";"generate";"5.933617e-07"
" 5";" 11";"45.45";"23.032";"image";"1.592924e-06"
" 8";" 26";"30.77";"20.920";"share";"4.788307e-06"
" 5";" 12";"41.67";"20.387";"condition";"6.324802e-06"
" 5";" 12";"41.67";"20.387";"analog";"6.324802e-06"
" 3";"  5";"60.00";"19.859";"reflection";"8.336286e-06"
" 3";"  5";"60.00";"19.859";"connection";"8.336286e-06"
" 3";"  5";"60.00";"19.859";"commit";"8.336286e-06"
"12";" 54";"22.22";"18.166";"human";"2.024991e-05"
" 5";" 13";"38.46";"18.160";"space";"2.031169e-05"
" 6";" 18";"33.33";"17.632";"student";"2.680180e-05"
" 3";"  6";"50.00";"15.634";"today";"7.684441e-05"
" 4";" 10";"40.00";"15.322";"internet";"9.065834e-05"
" 2";"  3";"66.67";"15.090";"sphere";"1.024954e-04"
" 2";"  3";"66.67";"15.090";"differently";"1.024954e-04"
" 8";" 32";"25.00";"14.684";"interest";"1.271340e-04"
