"";"V1"
"1";11
"2";1
"3";7
"4";1
"5";12
"6";10
"7";0
"8";8
"9";13
"10";0
"11";2
"12";4
"13";0
"14";13
"15";10
"16";13
"17";11
"18";0
"19";13
"20";0
"21";12
"22";6
"23";0
"24";2
"25";0
"26";6
"27";9
"28";7
"29";10
"30";12
"31";9
"32";8
"33";0
"34";2
"35";12
"36";12
"37";0
"38";0
"39";8
"40";6
"41";12
"42";10
"43";12
"44";10
"45";4
"46";6
"47";2
"48";0
"49";11
"50";13
"51";13
"52";12
"53";12
"54";7
"55";7
"56";5
"57";2
"58";0
"59";9
"60";1
"61";0
"62";10
"63";0
"64";4
"65";9
"66";10
"67";0
"68";6
"69";0
"70";10
"71";8
"72";13
"73";0
"74";0
"75";12
"76";7
"77";0
"78";6
"79";10
"80";9
"81";2
"82";10
"83";9
"84";7
"85";4
"86";7
"87";13
"88";0
"89";0
"90";0
"91";3
"92";12
"93";10
"94";4
"95";10
"96";0
"97";3
"98";13
"99";13
"100";4
"101";10
"102";0
"103";10
"104";5
"105";8
"106";0
"107";0
"108";0
"109";1
"110";1
"111";6
"112";4
"113";1
"114";1
"115";7
"116";1
"117";0
"118";2
"119";9
"120";11
"121";0
"122";13
"123";0
"124";13
"125";7
"126";0
"127";3
"128";12
"129";11
"130";13
"131";9
"132";11
"133";0
"134";3
"135";9
"136";0
"137";12
"138";0
"139";10
"140";3
"141";0
"142";6
"143";10
"144";1
"145";13
"146";6
"147";8
"148";2
"149";3
"150";13
"151";13
"152";13
"153";7
"154";4
"155";11
"156";7
"157";0
"158";10
"159";12
"160";7
"161";12
"162";9
"163";9
"164";13
"165";10
"166";8
"167";4
"168";3
"169";10
"170";0
"171";0
"172";13
"173";0
"174";4
"175";5
"176";13
"177";6
"178";0
"179";10
"180";13
"181";10
"182";1
"183";10
"184";0
"185";2
"186";12
"187";10
"188";13
"189";12
"190";12
"191";10
"192";13
"193";3
"194";0
"195";6
"196";7
"197";13
"198";7
"199";10
"200";4
"201";9
"202";0
"203";12
"204";5
"205";13
"206";0
"207";13
"208";0
"209";6
"210";13
"211";0
"212";11
"213";0
"214";7
"215";4
"216";1
"217";10
"218";10
"219";4
"220";11
"221";10
"222";1
"223";7
"224";4
"225";0
"226";8
"227";10
"228";4
"229";10
"230";7
"231";1
"232";2
"233";5
"234";13
"235";12
"236";13
"237";10
"238";0
"239";0
"240";3
"241";4
"242";0
"243";12
"244";6
"245";9
"246";0
"247";13
"248";0
"249";2
"250";0
"251";10
"252";9
"253";6
"254";6
"255";3
"256";0
"257";2
"258";1
"259";10
"260";5
"261";12
"262";2
"263";4
"264";13
"265";4
"266";1
"267";10
"268";12
"269";3
"270";5
"271";0
"272";3
"273";0
"274";12
"275";0
"276";9
"277";8
"278";1
"279";6
"280";4
"281";7
"282";2
"283";3
"284";0
"285";4
"286";0
"287";4
"288";5
"289";4
"290";8
"291";3
"292";9
"293";1
"294";9
"295";13
"296";13
"297";11
"298";13
"299";8
"300";0
"301";8
"302";3
"303";6
"304";0
"305";13
"306";0
"307";0
"308";11
"309";13
"310";8
"311";0
"312";4
"313";9
"314";12
"315";2
"316";9
"317";4
"318";7
"319";1
"320";0
"321";6
"322";3
"323";2
"324";6
"325";3
"326";9
"327";11
"328";0
"329";8
"330";8
"331";0
"332";2
"333";2
"334";4
"335";13
"336";1
"337";3
"338";1
"339";13
"340";9
"341";2
"342";1
"343";11
"344";8
"345";9
"346";7
"347";7
"348";12
"349";10
"350";3
"351";4
"352";0
"353";3
"354";0
"355";3
"356";6
"357";13
"358";3
"359";0
"360";7
"361";13
"362";0
"363";3
"364";5
"365";11
"366";0
"367";13
"368";3
"369";4
"370";0
"371";9
"372";1
"373";9
"374";6
"375";12
"376";1
"377";6
"378";13
"379";2
"380";12
