"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"3";"***";"";""
"**";"classe";"1";"**";"";""
"****";"316";"735";"42.99";"****";""
"45";" 47";" 95.74";"57.009";"text";"4.339302e-14"
"40";" 43";" 93.02";"46.643";"history";"8.517619e-12"
"34";" 36";" 94.44";"40.886";"thing";"1.613464e-10"
"28";" 30";" 93.33";"32.339";"literature";"1.295118e-08"
"25";" 26";" 96.15";"31.079";"language";"2.477232e-08"
"54";" 75";" 72.00";"28.673";"think";"8.567607e-08"
"29";" 36";" 80.56";"21.792";"person";"3.039054e-06"
"44";" 62";" 70.97";"21.620";"human";"3.322998e-06"
"53";" 79";" 67.09";"20.968";"computer";"4.670685e-06"
"15";" 15";"100.00";"20.304";"wide";"6.607615e-06"
"15";" 15";"100.00";"20.304";"philosophy";"6.607615e-06"
"40";" 56";" 71.43";"19.998";"create";"7.750362e-06"
"29";" 37";" 78.38";"19.904";"cultural";"8.141085e-06"
"20";" 23";" 86.96";"18.724";"part";"1.510992e-05"
"96";"167";" 57.49";"18.517";"dh";"1.683766e-05"
"38";" 54";" 70.37";"17.823";"understand";"2.424143e-05"
"12";" 12";"100.00";"16.175";"english";"5.773659e-05"
"54";" 86";" 62.79";"15.575";"define";"7.928512e-05"
"11";" 11";"100.00";"14.807";"literary";"1.190898e-04"
"11";" 11";"100.00";"14.807";"sense";"1.190898e-04"
"15";" 17";" 88.24";"14.534";"time";"1.376877e-04"
"31";" 44";" 70.45";"14.401";"term";"1.477587e-04"
"24";" 32";" 75.00";"13.984";"build";"1.843454e-04"
"34";" 50";" 68.00";"13.689";"definition";"2.157688e-04"
"10";" 10";"100.00";"13.442";"pattern";"2.460029e-04"
"10";" 10";"100.00";"13.442";"value";"2.460029e-04"
"19";" 24";" 79.17";"13.246";"find";"2.731705e-04"
"39";" 60";" 65.00";"12.910";"humanist";"3.268518e-04"
"17";" 21";" 80.95";"12.709";"umbrella";"3.638752e-04"
"15";" 18";" 83.33";"12.251";"write";"4.648863e-04"
" 9";"  9";"100.00";"12.081";"current";"5.092513e-04"
" 9";"  9";"100.00";"12.081";"connect";"5.092513e-04"
" 9";"  9";"100.00";"12.081";"put";"5.092513e-04"
"13";" 15";" 86.67";"11.917";"online";"5.563372e-04"
"11";" 12";" 91.67";"11.792";"electronic";"5.948493e-04"
"11";" 12";" 91.67";"11.792";"place";"5.948493e-04"
"20";" 27";" 74.07";"11.048";"learn";"8.878990e-04"
"14";" 17";" 82.35";"11.000";"kind";"9.111533e-04"
" 8";"  8";"100.00";"10.724";"big";"1.057364e-03"
" 8";"  8";"100.00";"10.724";"user";"1.057364e-03"
" 8";"  8";"100.00";"10.724";"artifact";"1.057364e-03"
"32";" 49";" 65.31";"10.665";"mean";"1.092035e-03"
"12";" 14";" 85.71";"10.628";"mind";"1.114076e-03"
"26";" 38";" 68.42";"10.571";"art";"1.148527e-03"
"10";" 11";" 90.91";"10.461";"participate";"1.219196e-03"
"10";" 11";" 90.91";"10.461";"image";"1.219196e-03"
"24";" 35";" 68.57";" 9.810";"analysis";"1.735593e-03"
"13";" 16";" 81.25";" 9.767";"broadly";"1.776544e-03"
" 7";"  7";"100.00";" 9.371";"game";"2.204582e-03"
" 7";"  7";"100.00";" 9.371";"academy";"2.204582e-03"
" 7";"  7";"100.00";" 9.371";"separate";"2.204582e-03"
" 7";"  7";"100.00";" 9.371";"remain";"2.204582e-03"
" 7";"  7";"100.00";" 9.371";"institution";"2.204582e-03"
" 7";"  7";"100.00";" 9.371";"feel";"2.204582e-03"
" 7";"  7";"100.00";" 9.371";"difficult";"2.204582e-03"
"11";" 13";" 84.62";" 9.354";"year";"2.224484e-03"
"11";" 13";" 84.62";" 9.354";"provide";"2.224484e-03"
"11";" 13";" 84.62";" 9.354";"born";"2.224484e-03"
"11";" 13";" 84.62";" 9.354";"condition";"2.224484e-03"
"21";" 30";" 70.00";" 9.308";"world";"2.282007e-03"
" 9";" 10";" 90.00";" 9.140";"increasingly";"2.500865e-03"
" 9";" 10";" 90.00";" 9.140";"collaborate";"2.500865e-03"
" 9";" 10";" 90.00";" 9.140";"call";"2.500865e-03"
"22";" 32";" 68.75";" 9.056";"scholarly";"2.618250e-03"
"23";" 34";" 67.65";" 8.841";"object";"2.945695e-03"
"15";" 20";" 75.00";" 8.593";"challenge";"3.373673e-03"
"25";" 38";" 65.79";" 8.496";"include";"3.558322e-03"
"20";" 29";" 68.97";" 8.310";"project";"3.943791e-03"
"10";" 12";" 83.33";" 8.100";"simply";"4.426819e-03"
" 6";"  6";"100.00";" 8.021";"word";"4.623356e-03"
" 6";"  6";"100.00";" 8.021";"start";"4.623356e-03"
" 6";"  6";"100.00";" 8.021";"group";"4.623356e-03"
" 6";"  6";"100.00";" 8.021";"commitment";"4.623356e-03"
" 6";"  6";"100.00";" 8.021";"right";"4.623356e-03"
" 6";"  6";"100.00";" 8.021";"m";"4.623356e-03"
" 6";"  6";"100.00";" 8.021";"goal";"4.623356e-03"
" 6";"  6";"100.00";" 8.021";"convergence";"4.623356e-03"
" 6";"  6";"100.00";" 8.021";"code";"4.623356e-03"
"13";" 17";" 76.47";" 7.958";"idea";"4.788272e-03"
"13";" 17";" 76.47";" 7.958";"impact";"4.788272e-03"
"13";" 17";" 76.47";" 7.958";"order";"4.788272e-03"
"22";" 33";" 66.67";" 7.901";"interest";"4.941767e-03"
" 8";"  9";" 88.89";" 7.831";"play";"5.136105e-03"
" 8";"  9";" 88.89";" 7.831";"methodological";"5.136105e-03"
" 8";"  9";" 88.89";" 7.831";"boundary";"5.136105e-03"
"11";" 14";" 78.57";" 7.371";"view";"6.628658e-03"
"11";" 14";" 78.57";" 7.371";"space";"6.628658e-03"
"15";" 21";" 71.43";" 7.132";"bring";"7.572816e-03"
" 9";" 11";" 81.82";" 6.868";"heritage";"8.774712e-03"
" 9";" 11";" 81.82";" 6.868";"technical";"8.774712e-03"
" 9";" 11";" 81.82";" 6.868";"relationship";"8.774712e-03"
" 9";" 11";" 81.82";" 6.868";"important";"8.774712e-03"
" 9";" 11";" 81.82";" 6.868";"audience";"8.774712e-03"
"23";" 36";" 63.89";" 6.744";"science";"9.407808e-03"
" 5";"  5";"100.00";" 6.675";"book";"9.776595e-03"
" 5";"  5";"100.00";" 6.675";"teacher";"9.776595e-03"
" 5";"  5";"100.00";" 6.675";"discuss";"9.776595e-03"
" 5";"  5";"100.00";" 6.675";"aid";"9.776595e-03"
" 5";"  5";"100.00";" 6.675";"sociology";"9.776595e-03"
" 5";"  5";"100.00";" 6.675";"institutional";"9.776595e-03"
" 5";"  5";"100.00";" 6.675";"distinguish";"9.776595e-03"
" 5";"  5";"100.00";" 6.675";"writer";"9.776595e-03"
" 5";"  5";"100.00";" 6.675";"stuff";"9.776595e-03"
" 5";"  5";"100.00";" 6.675";"skill";"9.776595e-03"
" 5";"  5";"100.00";" 6.675";"short";"9.776595e-03"
" 5";"  5";"100.00";" 6.675";"norm";"9.776595e-03"
" 5";"  5";"100.00";" 6.675";"literacy";"9.776595e-03"
" 5";"  5";"100.00";" 6.675";"innovation";"9.776595e-03"
" 5";"  5";"100.00";" 6.675";"gain";"9.776595e-03"
" 5";"  5";"100.00";" 6.675";"encode";"9.776595e-03"
" 5";"  5";"100.00";" 6.675";"discourse";"9.776595e-03"
" 5";"  5";"100.00";" 6.675";"depend";"9.776595e-03"
" 5";"  5";"100.00";" 6.675";"deep";"9.776595e-03"
" 7";"  8";" 87.50";" 6.537";"issue";"1.056616e-02"
" 7";"  8";" 87.50";" 6.537";"purpose";"1.056616e-02"
" 7";"  8";" 87.50";" 6.537";"mine";"1.056616e-02"
" 7";"  8";" 87.50";" 6.537";"physical";"1.056616e-02"
" 7";"  8";" 87.50";" 6.537";"implication";"1.056616e-02"
" 7";"  8";" 87.50";" 6.537";"full";"1.056616e-02"
"10";" 13";" 76.92";" 6.216";"read";"1.265796e-02"
"10";" 13";" 76.92";" 6.216";"interaction";"1.265796e-02"
"15";" 22";" 68.18";" 5.871";"support";"1.539340e-02"
" 8";" 10";" 80.00";" 5.665";"large";"1.730850e-02"
" 8";" 10";" 80.00";" 5.665";"role";"1.730850e-02"
" 8";" 10";" 80.00";" 5.665";"add";"1.730850e-02"
"17";" 26";" 65.38";" 5.514";"process";"1.886698e-02"
"12";" 17";" 70.59";" 5.407";"network";"2.005744e-02"
" 4";"  4";"100.00";" 5.333";"university";"2.092750e-02"
" 4";"  4";"100.00";" 5.333";"edition";"2.092750e-02"
" 4";"  4";"100.00";" 5.333";"department";"2.092750e-02"
" 4";"  4";"100.00";" 5.333";"begin";"2.092750e-02"
" 4";"  4";"100.00";" 5.333";"vague";"2.092750e-02"
" 4";"  4";"100.00";" 5.333";"hard";"2.092750e-02"
" 4";"  4";"100.00";" 5.333";"collect";"2.092750e-02"
" 4";"  4";"100.00";" 5.333";"thinker";"2.092750e-02"
" 4";"  4";"100.00";" 5.333";"problematic";"2.092750e-02"
" 4";"  4";"100.00";" 5.333";"principle";"2.092750e-02"
" 4";"  4";"100.00";" 5.333";"portion";"2.092750e-02"
" 4";"  4";"100.00";" 5.333";"perform";"2.092750e-02"
" 4";"  4";"100.00";" 5.333";"participant";"2.092750e-02"
" 4";"  4";"100.00";" 5.333";"numb";"2.092750e-02"
" 4";"  4";"100.00";" 5.333";"multimedia";"2.092750e-02"
" 4";"  4";"100.00";" 5.333";"multi";"2.092750e-02"
" 4";"  4";"100.00";" 5.333";"merge";"2.092750e-02"
" 4";"  4";"100.00";" 5.333";"mark";"2.092750e-02"
" 4";"  4";"100.00";" 5.333";"management";"2.092750e-02"
" 4";"  4";"100.00";" 5.333";"library";"2.092750e-02"
" 4";"  4";"100.00";" 5.333";"hide";"2.092750e-02"
" 4";"  4";"100.00";" 5.333";"happen";"2.092750e-02"
" 4";"  4";"100.00";" 5.333";"event";"2.092750e-02"
" 4";"  4";"100.00";" 5.333";"effort";"2.092750e-02"
" 4";"  4";"100.00";" 5.333";"deeply";"2.092750e-02"
" 4";"  4";"100.00";" 5.333";"center";"2.092750e-02"
" 6";"  7";" 85.71";" 5.263";"today";"2.178665e-02"
" 6";"  7";" 85.71";" 5.263";"theoretical";"2.178665e-02"
" 6";"  7";" 85.71";" 5.263";"identify";"2.178665e-02"
" 6";"  7";" 85.71";" 5.263";"global";"2.178665e-02"
" 6";"  7";" 85.71";" 5.263";"force";"2.178665e-02"
" 6";"  7";" 85.71";" 5.263";"ability";"2.178665e-02"
" 6";"  7";" 85.71";" 5.263";"task";"2.178665e-02"
" 6";"  7";" 85.71";" 5.263";"music";"2.178665e-02"
" 6";"  7";" 85.71";" 5.263";"generate";"2.178665e-02"
" 6";"  7";" 85.71";" 5.263";"drive";"2.178665e-02"
" 6";"  7";" 85.71";" 5.263";"criticism";"2.178665e-02"
"13";" 19";" 68.42";" 5.145";"student";"2.330775e-02"
" 9";" 12";" 75.00";" 5.099";"analog";"2.393908e-02"
"26";" 44";" 59.09";" 4.948";"culture";"2.611499e-02"
"14";" 21";" 66.67";" 4.943";"public";"2.619391e-02"
"54";"102";" 52.94";" 4.782";"work";"2.875548e-02"
"10";" 14";" 71.43";" 4.708";"publish";"3.001591e-02"
" 7";"  9";" 77.78";" 4.498";"point";"3.393023e-02"
" 7";"  9";" 77.78";" 4.498";"individual";"3.393023e-02"
" 7";"  9";" 77.78";" 4.498";"collection";"3.393023e-02"
