"";"X";"V1"
"1";1;2
"2";2;3
"3";3;3
"4";4;3
"5";5;2
"6";6;3
"7";7;3
"8";8;1
"9";9;3
"10";10;3
"11";11;1
"12";12;1
"13";13;1
"14";14;3
"15";15;3
"16";16;3
"17";17;2
"18";18;0
"19";19;3
"20";20;3
"21";21;2
"22";22;3
"23";23;3
"24";24;1
"25";25;3
"26";26;3
"27";27;1
"28";28;3
"29";29;3
"30";30;2
"31";31;1
"32";32;1
"33";33;0
"34";34;1
"35";35;2
"36";36;2
"37";37;1
"38";38;0
"39";39;1
"40";40;3
"41";41;2
"42";42;3
"43";43;2
"44";44;3
"45";45;1
"46";46;3
"47";47;1
"48";48;3
"49";49;2
"50";50;3
"51";51;3
"52";52;2
"53";53;2
"54";54;3
"55";55;3
"56";56;1
"57";57;1
"58";58;1
"59";59;1
"60";60;3
"61";61;1
"62";62;3
"63";63;3
"64";64;1
"65";65;1
"66";66;3
"67";67;0
"68";68;3
"69";69;0
"70";70;3
"71";71;1
"72";72;3
"73";73;0
"74";74;0
"75";75;2
"76";76;3
"77";77;3
"78";78;3
"79";79;3
"80";80;1
"81";81;1
"82";82;3
"83";83;1
"84";84;3
"85";85;1
"86";86;3
"87";87;3
"88";88;1
"89";89;3
"90";90;1
"91";91;1
"92";92;2
"93";93;3
"94";94;1
"95";95;3
"96";96;0
"97";97;1
"98";98;3
"99";99;3
"100";100;1
"101";101;3
"102";102;0
"103";103;3
"104";104;1
"105";105;1
"106";106;3
"107";107;0
"108";108;3
"109";109;3
"110";110;3
"111";111;3
"112";112;1
"113";113;3
"114";114;3
"115";115;3
"116";116;3
"117";117;3
"118";118;1
"119";119;1
"120";120;2
"121";121;0
"122";122;3
"123";123;2
"124";124;3
"125";125;3
"126";126;0
"127";127;1
"128";128;2
"129";129;2
"130";130;3
"131";131;1
"132";132;2
"133";133;0
"134";134;1
"135";135;1
"136";136;3
"137";137;2
"138";138;0
"139";139;3
"140";140;1
"141";141;0
"142";142;3
"143";143;3
"144";144;3
"145";145;3
"146";146;3
"147";147;1
"148";148;1
"149";149;1
"150";150;3
"151";151;3
"152";152;3
"153";153;3
"154";154;1
"155";155;2
"156";156;3
"157";157;0
"158";158;3
"159";159;2
"160";160;3
"161";161;2
"162";162;1
"163";163;1
"164";164;3
"165";165;3
"166";166;1
"167";167;1
"168";168;1
"169";169;3
"170";170;3
"171";171;3
"172";172;3
"173";173;3
"174";174;1
"175";175;1
"176";176;3
"177";177;3
"178";178;1
"179";179;3
"180";180;3
"181";181;3
"182";182;3
"183";183;3
"184";184;3
"185";185;1
"186";186;2
"187";187;3
"188";188;3
"189";189;2
"190";190;2
"191";191;3
"192";192;3
"193";193;1
"194";194;0
"195";195;3
"196";196;3
"197";197;3
"198";198;3
"199";199;3
"200";200;1
"201";201;1
"202";202;3
"203";203;2
"204";204;1
"205";205;3
"206";206;1
"207";207;3
"208";208;1
"209";209;3
"210";210;3
"211";211;0
"212";212;2
"213";213;3
"214";214;3
"215";215;1
"216";216;3
"217";217;3
"218";218;3
"219";219;1
"220";220;2
"221";221;3
"222";222;3
"223";223;3
"224";224;1
"225";225;3
"226";226;1
"227";227;3
"228";228;1
"229";229;3
"230";230;3
"231";231;3
"232";232;1
"233";233;1
"234";234;3
"235";235;2
"236";236;3
"237";237;3
"238";238;1
"239";239;3
"240";240;1
"241";241;1
"242";242;2
"243";243;2
"244";244;3
"245";245;1
"246";246;0
"247";247;3
"248";248;0
"249";249;1
"250";250;0
"251";251;3
"252";252;1
"253";253;3
"254";254;3
"255";255;1
"256";256;1
"257";257;1
"258";258;3
"259";259;3
"260";260;1
"261";261;2
"262";262;1
"263";263;1
"264";264;3
"265";265;1
"266";266;3
"267";267;3
"268";268;2
"269";269;1
"270";270;1
"271";271;1
"272";272;1
"273";273;1
"274";274;2
"275";275;1
"276";276;1
"277";277;1
"278";278;3
"279";279;3
"280";280;1
"281";281;3
"282";282;1
"283";283;1
"284";284;3
"285";285;1
"286";286;1
"287";287;1
"288";288;1
"289";289;1
"290";290;1
"291";291;1
"292";292;1
"293";293;3
"294";294;1
"295";295;3
"296";296;3
"297";297;2
"298";298;3
"299";299;1
"300";300;0
"301";301;1
"302";302;1
"303";303;3
"304";304;0
"305";305;3
"306";306;0
"307";307;3
"308";308;2
"309";309;3
"310";310;1
"311";311;0
"312";312;1
"313";313;1
"314";314;2
"315";315;1
"316";316;1
"317";317;1
"318";318;3
"319";319;3
"320";320;3
"321";321;3
"322";322;1
"323";323;1
"324";324;3
"325";325;1
"326";326;1
"327";327;2
"328";328;1
"329";329;1
"330";330;1
"331";331;1
"332";332;1
"333";333;1
"334";334;1
"335";335;3
"336";336;3
"337";337;1
"338";338;3
"339";339;3
"340";340;1
"341";341;1
"342";342;3
"343";343;2
"344";344;1
"345";345;1
"346";346;3
"347";347;3
"348";348;2
"349";349;3
"350";350;1
"351";351;1
"352";352;0
"353";353;1
"354";354;1
"355";355;1
"356";356;3
"357";357;3
"358";358;1
"359";359;3
"360";360;3
"361";361;3
"362";362;0
"363";363;1
"364";364;1
"365";365;2
"366";366;0
"367";367;3
"368";368;1
"369";369;1
"370";370;3
"371";371;1
"372";372;3
"373";373;1
"374";374;3
"375";375;2
"376";376;3
"377";377;3
"378";378;3
"379";379;1
"380";380;2
"381";381;3
"382";382;1
"383";383;3
"384";384;3
"385";385;3
"386";386;1
"387";387;1
"388";388;1
"389";389;2
"390";390;0
"391";391;1
"392";392;1
"393";393;1
"394";394;3
"395";395;3
"396";396;1
"397";397;3
"398";398;1
"399";399;3
"400";400;1
"401";401;0
"402";402;1
"403";403;3
"404";404;1
"405";405;3
"406";406;1
"407";407;3
"408";408;1
"409";409;1
"410";410;1
"411";411;3
"412";412;3
"413";413;3
"414";414;1
"415";415;2
"416";416;2
"417";417;3
"418";418;3
"419";419;1
"420";420;1
"421";421;3
"422";422;1
"423";423;1
"424";424;3
"425";425;3
"426";426;3
"427";427;3
"428";428;0
"429";429;3
"430";430;1
"431";431;1
"432";432;0
"433";433;3
"434";434;0
"435";435;3
"436";436;3
"437";437;1
"438";438;1
"439";439;1
"440";440;3
"441";441;2
"442";442;3
"443";443;3
"444";444;1
"445";445;3
"446";446;0
"447";447;1
"448";448;1
"449";449;3
"450";450;3
"451";451;3
"452";452;3
"453";453;1
"454";454;3
"455";455;2
"456";456;1
"457";457;0
"458";458;3
"459";459;1
"460";460;3
"461";461;1
"462";462;3
"463";463;3
"464";464;1
"465";465;3
"466";466;0
"467";467;3
"468";468;1
"469";469;3
"470";470;1
"471";471;1
"472";472;1
"473";473;3
"474";474;3
"475";475;3
"476";476;1
"477";477;1
"478";478;0
"479";479;3
"480";480;1
"481";481;1
"482";482;1
"483";483;3
"484";484;3
"485";485;1
"486";486;1
"487";487;1
"488";488;1
"489";489;1
"490";490;3
"491";491;1
"492";492;1
"493";493;3
"494";494;0
"495";495;1
"496";496;1
"497";497;3
"498";498;1
"499";499;1
"500";500;1
"501";501;3
"502";502;1
"503";503;3
"504";504;1
"505";505;1
"506";506;1
"507";507;1
"508";508;1
"509";509;3
"510";510;3
"511";511;3
"512";512;1
"513";513;2
"514";514;3
"515";515;3
"516";516;1
"517";517;3
"518";518;3
"519";519;1
"520";520;1
"521";521;1
"522";522;3
"523";523;1
"524";524;2
"525";525;1
"526";526;2
"527";527;3
"528";528;3
"529";529;1
"530";530;3
"531";531;3
"532";532;1
"533";533;1
"534";534;2
"535";535;3
"536";536;3
"537";537;3
"538";538;3
"539";539;0
"540";540;3
"541";541;3
"542";542;1
"543";543;1
"544";544;3
"545";545;1
"546";546;3
"547";547;1
"548";548;1
"549";549;1
"550";550;3
"551";551;3
"552";552;1
"553";553;1
"554";554;3
"555";555;1
"556";556;3
"557";557;2
"558";558;3
"559";559;3
"560";560;3
"561";561;1
"562";562;3
"563";563;2
"564";564;1
"565";565;1
"566";566;2
"567";567;3
"568";568;3
"569";569;3
"570";570;3
"571";571;3
"572";572;1
"573";573;2
"574";574;1
"575";575;1
"576";576;1
"577";577;3
"578";578;0
"579";579;3
"580";580;3
"581";581;2
"582";582;1
"583";583;1
"584";584;3
"585";585;3
"586";586;3
"587";587;2
"588";588;0
"589";589;1
"590";590;3
"591";591;3
"592";592;3
"593";593;0
"594";594;1
"595";595;1
"596";596;3
"597";597;1
"598";598;0
"599";599;1
"600";600;3
"601";601;3
"602";602;2
"603";603;2
"604";604;3
"605";605;1
"606";606;3
"607";607;3
"608";608;3
"609";609;1
"610";610;3
"611";611;1
"612";612;2
"613";613;3
"614";614;3
"615";615;1
"616";616;3
"617";617;1
"618";618;1
"619";619;1
"620";620;1
"621";621;1
"622";622;3
"623";623;1
"624";624;1
"625";625;3
"626";626;3
"627";627;3
"628";628;2
"629";629;1
"630";630;3
"631";631;1
"632";632;1
"633";633;1
"634";634;2
"635";635;3
"636";636;1
"637";637;3
"638";638;3
"639";639;3
"640";640;1
"641";641;3
"642";642;1
"643";643;1
"644";644;3
"645";645;3
"646";646;1
"647";647;3
"648";648;1
"649";649;1
"650";650;3
"651";651;0
"652";652;3
"653";653;1
"654";654;1
"655";655;1
