"";"Coord. facteur 1";"Coord. facteur 2";"Corr. facteur 1";"Corr. facteur 2";"COR -facteur 1";"COR -facteur 2";"CTR -facteur 1";"CTR -facteur 2";"mass";"chi.distance";"inertie"
"format";-0,859056083602972;-1,72600333975748;-0,445575647338451;-0,89524429207838;0,255715232880509;0,74428476711949;0,000224491184782583;0,000906232263897989;0,000304197931454066;0,760388063470876;0,000175884204137798
"foreground";-0,143395522845147;1,02170719286773;-0,138986748309759;0,990294241018436;0,0265931853921245;0,973406814607876;8,34000242224019e-06;0,000423397115375238;0,000405597241938755;0,393588575581726;6,28318664889281e-05
"folk";2,10577319059883;0,0323254909139777;0,999882195920468;0,0153490807953935;0,999830122604615;0,000169877395387583;0,00134889902562709;3,17867784271847e-07;0,000304197931454066;0,942628478707367;0,000270294600143023
"fiction";2,10577319059883;0,0323254909139777;0,999882195920468;0,0153490807953935;0,999830122604615;0,000169877395387583;0,00134889902562709;3,17867784271847e-07;0,000304197931454066;0,942628478707367;0,000270294600143023
"fall";0,981188833876842;0,527016341890852;0,880963889901052;0,473183500019186;0,827807369258688;0,172192630741312;0,00039048125237258;0,00011265310266478;0,000405597241938755;0,482703031005809;9,45050562328921e-05
"event";2,10577319059883;0,0323254909139776;0,999882195920468;0,0153490807953935;0,999830122604615;0,000169877395387583;0,00179853203416945;4,23823712362462e-07;0,000405597241938755;0,942628478707367;0,000360392800190698
"emergence";-1,26797987956714;1,5163980438446;-0,641471757518332;0,76714665110808;0,492319174791228;0,507680825208776;0,00065210828431843;0,000932655861843735;0,000405597241938755;0,808874341865864;0,000265373230958806
"effort";2,10577319059883;0,0323254909139776;0,999882195920468;0,0153490807953935;0,999830122604615;0,000169877395387583;0,00179853203416945;4,23823712362462e-07;0,000405597241938755;0,942628478707367;0,000360392800190698
"easy";-2,39256423628913;2,01108889482147;-0,765494474524017;0,643442467881316;0,662505286995088;0,337494713004915;0,00232178609806115;0,00164042934207027;0,000405597241938755;1,31571251360001;0,000702129149642525
"dynamic";1,00673559166947;-1,78111198306649;0,492064710820602;-0,870558625461282;0,307049455576534;0,692950544423469;0,000411079517961498;0,00128670042434519;0,000405597241938755;0,813211159391373;0,00026822648134604
"distinct";-1,26797987956714;1,5163980438446;-0,641471757518332;0,76714665110808;0,492319174791228;0,507680825208776;0,00065210828431843;0,000932655861843735;0,000405597241938755;0,808874341865864;0,000265373230958806
"discovery";-1,26797987956714;1,5163980438446;-0,641471757518332;0,76714665110808;0,492319174791228;0,507680825208776;0,00065210828431843;0,000932655861843735;0,000405597241938755;0,808874341865864;0,000265373230958806
"deeply";2,10577319059883;0,0323254909139776;0,999882195920468;0,0153490807953935;0,999830122604615;0,000169877395387583;0,00179853203416945;4,23823712362462e-07;0,000405597241938755;0,942628478707367;0,000360392800190698
"decade";0,981188833876842;0,527016341890852;0,880963889901052;0,473183500019186;0,827807369258688;0,172192630741312;0,00039048125237258;0,00011265310266478;0,000405597241938755;0,482703031005809;9,45050562328921e-05
"curation";-0,143395522845147;1,02170719286773;-0,138986748309759;0,990294241018436;0,0265931853921245;0,973406814607876;8,34000242224019e-06;0,000423397115375238;0,000405597241938755;0,393588575581726;6,28318664889281e-05
"creativity";-0,143395522845147;1,02170719286773;-0,138986748309759;0,990294241018436;0,0265931853921245;0,973406814607876;8,34000242224019e-06;0,000423397115375238;0,000405597241938755;0,393588575581726;6,28318664889281e-05
"conventional";-1,24243312177451;-0,791730281112745;-0,843325896357835;-0,537402486533375;0,773523039940155;0,226476960059846;0,000626096151726772;0,000254243292650929;0,000405597241938755;0,632307694033917;0,000162163058176633
"consume";0,981188833876842;0,527016341890852;0,880963889901052;0,473183500019186;0,827807369258688;0,172192630741312;0,00039048125237258;0,00011265310266478;0,000405597241938755;0,482703031005809;9,45050562328921e-05
"consciously";-1,26797987956714;1,5163980438446;-0,641471757518332;0,76714665110808;0,492319174791228;0,507680825208776;0,00065210828431843;0,000932655861843735;0,000405597241938755;0,808874341865864;0,000265373230958806
"claim";0,606327381636179;0,691913292216476;0,659060496307364;0,752089929600903;0,515749485144811;0,484250514855188;0,000111833165804639;0,000145632935696363;0,000304197931454066;0,377902576205429;4,34426152208579e-05
"center";2,10577319059883;0,0323254909139776;0,999882195920468;0,0153490807953935;0,999830122604615;0,000169877395387583;0,00179853203416945;4,23823712362462e-07;0,000405597241938755;0,942628478707367;0,000360392800190698
"carry";1,00673559166947;-1,78111198306649;0,492064710820602;-0,870558625461282;0,307049455576534;0,692950544423469;0,000411079517961498;0,00128670042434519;0,000405597241938755;0,813211159391373;0,00026822648134604
"capacity";2,10577319059883;0,0323254909139777;0,999882195920468;0,0153490807953935;0,999830122604615;0,000169877395387583;0,00134889902562709;3,17867784271847e-07;0,000304197931454066;0,942628478707367;0,000270294600143023
"body";2,10577319059883;0,0323254909139777;0,999882195920468;0,0153490807953935;0,999830122604615;0,000169877395387583;0,00134889902562709;3,17867784271847e-07;0,000304197931454066;0,942628478707367;0,000270294600143023
"blogs";1,00673559166947;-1,78111198306649;0,492064710820602;-0,870558625461282;0,307049455576534;0,692950544423469;0,000411079517961498;0,00128670042434519;0,000405597241938755;0,813211159391373;0,00026822648134604
"augment";-1,24243312177451;-0,791730281112745;-0,843325896357835;-0,537402486533375;0,773523039940155;0,226476960059846;0,000626096151726772;0,000254243292650929;0,000405597241938755;0,632307694033917;0,000162163058176633
"animal";2,10577319059883;0,0323254909139777;0,999882195920468;0,0153490807953935;0,999830122604615;0,000169877395387583;0,00134889902562709;3,17867784271847e-07;0,000304197931454066;0,942628478707367;0,000270294600143023
"adopt";-1,24243312177451;-0,791730281112745;-0,843325896357835;-0,537402486533375;0,773523039940155;0,226476960059846;0,000626096151726772;0,000254243292650929;0,000405597241938755;0,632307694033917;0,000162163058176633
"xml";2,10577319059883;0,0323254909139777;0,999882195920468;0,0153490807953935;0,999830122604615;0,000169877395387583;0,00134889902562709;3,17867784271847e-07;0,000304197931454066;0,942628478707367;0,000270294600143023
"wall";0,64038972535968;-2,38559114105998;0,259261908897325;-0,965807052466959;0,0908623613215116;0,909137638678489;0,000124751267596708;0,00173120414489065;0,000304197931454066;0,950920956627939;0,000275071182038388
"utilization";-2,35850189256562;-1,06641553845499;-0,911184190528859;-0,411999236565152;0,871529125834324;0,128470874165677;0,00169211047776383;0,000345946694582712;0,000304197931454066;1,13080403401403;0,000388983298522331
"universal";0,606327381636179;0,691913292216476;0,659060496307364;0,752089929600903;0,515749485144811;0,484250514855188;0,000111833165804639;0,000145632935696363;0,000304197931454066;0,377902576205429;4,34426152208579e-05
"ubiquitous";2,10577319059883;0,0323254909139777;0,999882195920468;0,0153490807953935;0,999830122604615;0,000169877395387583;0,00134889902562709;3,17867784271847e-07;0,000304197931454066;0,942628478707367;0,000270294600143023
"typically";-0,893118427326474;1,35150109351898;-0,551327026900212;0,834289224076023;0,377210772052838;0,622789227947165;0,000242646681777564;0,00055563431528584;0,000304197931454066;0,65089221864596;0,000128876702583815
"trend";0,606327381636179;0,691913292216476;0,659060496307364;0,752089929600903;0,515749485144811;0,484250514855188;0,000111833165804639;0,000145632935696363;0,000304197931454066;0,377902576205429;4,34426152208579e-05
"transmission";2,10577319059883;0,0323254909139777;0,999882195920468;0,0153490807953935;0,999830122604615;0,000169877395387583;0,00134889902562709;3,17867784271847e-07;0,000304197931454066;0,942628478707367;0,000270294600143023
"thoughtful";-0,859056083602972;-1,72600333975748;-0,445575647338451;-0,89524429207838;0,255715232880509;0,74428476711949;0,000224491184782583;0,000906232263897989;0,000304197931454066;0,760388063470876;0,000175884204137798
"theoretically";-2,39256423628912;2,01108889482147;-0,765494474524017;0,643442467881316;0,662505286995088;0,337494713004915;0,00174133957354586;0,0012303220065527;0,000304197931454066;1,31571251360001;0,000526596862231893
"terras";2,10577319059883;0,0323254909139777;0,999882195920468;0,0153490807953935;0,999830122604615;0,000169877395387583;0,00134889902562709;3,17867784271847e-07;0,000304197931454066;0,942628478707367;0,000270294600143023
"talk";0,606327381636179;0,691913292216476;0,659060496307364;0,752089929600903;0,515749485144811;0,484250514855188;0,000111833165804639;0,000145632935696363;0,000304197931454066;0,377902576205429;4,34426152208579e-05
"tackle";2,10577319059883;0,0323254909139777;0,999882195920468;0,0153490807953935;0,999830122604615;0,000169877395387583;0,00134889902562709;3,17867784271847e-07;0,000304197931454066;0,942628478707367;0,000270294600143023
"sustainability";2,10577319059883;0,0323254909139777;0,999882195920468;0,0153490807953935;0,999830122604615;0,000169877395387583;0,00134889902562709;3,17867784271847e-07;0,000304197931454066;0,942628478707367;0,000270294600143023
"suggest";0,64038972535968;-2,38559114105998;0,259261908897325;-0,965807052466959;0,0908623613215116;0,909137638678489;0,000124751267596708;0,00173120414489065;0,000304197931454066;0,950920956627939;0,000275071182038388
"stand";0,64038972535968;-2,38559114105998;0,259261908897325;-0,965807052466959;0,0908623613215116;0,909137638678489;0,000124751267596708;0,00173120414489065;0,000304197931454066;0,950920956627939;0,000275071182038388
"spirit";0,606327381636179;0,691913292216476;0,659060496307364;0,752089929600903;0,515749485144811;0,484250514855188;0,000111833165804639;0,000145632935696363;0,000304197931454066;0,377902576205429;4,34426152208579e-05
"sphere";2,10577319059883;0,0323254909139777;0,999882195920468;0,0153490807953935;0,999830122604615;0,000169877395387583;0,00134889902562709;3,17867784271847e-07;0,000304197931454066;0,942628478707367;0,000270294600143023
"sound";0,606327381636179;0,691913292216476;0,659060496307364;0,752089929600903;0,515749485144811;0,484250514855188;0,000111833165804639;0,000145632935696363;0,000304197931454066;0,377902576205429;4,34426152208579e-05
"sort";0,606327381636179;0,691913292216476;0,659060496307364;0,752089929600903;0,515749485144811;0,484250514855188;0,000111833165804639;0,000145632935696363;0,000304197931454066;0,377902576205429;4,34426152208579e-05
"solution";-0,893118427326474;1,35150109351898;-0,551327026900212;0,834289224076023;0,377210772052838;0,622789227947165;0,000242646681777564;0,00055563431528584;0,000304197931454066;0,65089221864596;0,000128876702583815
"scope";-0,893118427326474;1,35150109351898;-0,551327026900212;0,834289224076023;0,377210772052838;0,622789227947165;0,000242646681777564;0,00055563431528584;0,000304197931454066;0,65089221864596;0,000128876702583815
"rubric";2,10577319059883;0,0323254909139777;0,999882195920468;0,0153490807953935;0,999830122604615;0,000169877395387583;0,00134889902562709;3,17867784271847e-07;0,000304197931454066;0,942628478707367;0,000270294600143023
"require";-0,893118427326474;1,35150109351898;-0,551327026900212;0,834289224076023;0,377210772052838;0,622789227947165;0,000242646681777564;0,00055563431528584;0,000304197931454066;0,65089221864596;0,000128876702583815
"remix";-0,859056083602972;-1,72600333975748;-0,445575647338451;-0,89524429207838;0,255715232880509;0,74428476711949;0,000224491184782583;0,000906232263897989;0,000304197931454066;0,760388063470876;0,000175884204137798
"recent";2,10577319059883;0,0323254909139777;0,999882195920468;0,0153490807953935;0,999830122604615;0,000169877395387583;0,00134889902562709;3,17867784271847e-07;0,000304197931454066;0,942628478707367;0,000270294600143023
"readily";0,606327381636179;0,691913292216476;0,659060496307364;0,752089929600903;0,515749485144811;0,484250514855188;0,000111833165804639;0,000145632935696363;0,000304197931454066;0,377902576205429;4,34426152208579e-05
"reader";2,10577319059883;0,0323254909139777;0,999882195920468;0,0153490807953935;0,999830122604615;0,000169877395387583;0,00134889902562709;3,17867784271847e-07;0,000304197931454066;0,942628478707367;0,000270294600143023
"reach";0,64038972535968;-2,38559114105998;0,259261908897325;-0,965807052466959;0,0908623613215116;0,909137638678489;0,000124751267596708;0,00173120414489065;0,000304197931454066;0,950920956627939;0,000275071182038388
"radically";0,64038972535968;-2,38559114105998;0,259261908897325;-0,965807052466959;0,0908623613215116;0,909137638678489;0,000124751267596708;0,00173120414489065;0,000304197931454066;0,950920956627939;0,000275071182038388
"pull";0,606327381636179;0,691913292216476;0,659060496307364;0,752089929600903;0,515749485144811;0,484250514855188;0,000111833165804639;0,000145632935696363;0,000304197931454066;0,377902576205429;4,34426152208579e-05
"procedure";-0,893118427326474;1,35150109351898;-0,551327026900212;0,834289224076023;0,377210772052838;0,622789227947165;0,000242646681777564;0,00055563431528584;0,000304197931454066;0,65089221864596;0,000128876702583815
"primarily";0,606327381636179;0,691913292216476;0,659060496307364;0,752089929600903;0,515749485144811;0,484250514855188;0,000111833165804639;0,000145632935696363;0,000304197931454066;0,377902576205429;4,34426152208579e-05
"pretty";2,10577319059883;0,0323254909139777;0,999882195920468;0,0153490807953935;0,999830122604615;0,000169877395387583;0,00134889902562709;3,17867784271847e-07;0,000304197931454066;0,942628478707367;0,000270294600143023
"potentially";0,606327381636179;0,691913292216476;0,659060496307364;0,752089929600903;0,515749485144811;0,484250514855188;0,000111833165804639;0,000145632935696363;0,000304197931454066;0,377902576205429;4,34426152208579e-05
"position";2,10577319059883;0,0323254909139777;0,999882195920468;0,0153490807953935;0,999830122604615;0,000169877395387583;0,00134889902562709;3,17867784271847e-07;0,000304197931454066;0,942628478707367;0,000270294600143023
"personally";2,10577319059883;0,0323254909139777;0,999882195920468;0,0153490807953935;0,999830122604615;0,000169877395387583;0,00134889902562709;3,17867784271847e-07;0,000304197931454066;0,942628478707367;0,000270294600143023
"perceive";-2,35850189256562;-1,06641553845499;-0,911184190528859;-0,411999236565152;0,871529125834324;0,128470874165677;0,00169211047776383;0,000345946694582712;0,000304197931454066;1,13080403401403;0,000388983298522331
"participation";0,606327381636179;0,691913292216476;0,659060496307364;0,752089929600903;0,515749485144811;0,484250514855188;0,000111833165804639;0,000145632935696363;0,000304197931454066;0,377902576205429;4,34426152208579e-05
"outreach";-2,35850189256562;-1,06641553845499;-0,911184190528859;-0,411999236565152;0,871529125834324;0,128470874165677;0,00169211047776383;0,000345946694582712;0,000304197931454066;1,13080403401403;0,000388983298522331
"organization";0,606327381636179;0,691913292216476;0,659060496307364;0,752089929600903;0,515749485144811;0,484250514855188;0,000111833165804639;0,000145632935696363;0,000304197931454066;0,377902576205429;4,34426152208579e-05
"openness";0,606327381636179;0,691913292216476;0,659060496307364;0,752089929600903;0,515749485144811;0,484250514855188;0,000111833165804639;0,000145632935696363;0,000304197931454066;0,377902576205429;4,34426152208579e-05
"observe";2,10577319059883;0,0323254909139777;0,999882195920468;0,0153490807953935;0,999830122604615;0,000169877395387583;0,00134889902562709;3,17867784271847e-07;0,000304197931454066;0,942628478707367;0,000270294600143023
"numerous";2,10577319059883;0,0323254909139777;0,999882195920468;0,0153490807953935;0,999830122604615;0,000169877395387583;0,00134889902562709;3,17867784271847e-07;0,000304197931454066;0,942628478707367;0,000270294600143023
