"";"Coord. facteur 1";"Coord. facteur 2";"Corr. facteur 1";"Corr. facteur 2";"COR -facteur 1";"COR -facteur 2";"CTR -facteur 1";"CTR -facteur 2";"mass";"chi.distance";"inertie"
"largely";0,981188833876842;0,527016341890852;0,880963889901052;0,473183500019186;0,827807369258688;0,172192630741312;0,00039048125237258;0,00011265310266478;0,000405597241938755;0,482703031005809;9,45050562328921e-05
"interconnect";-1,49289675091153;1,61533621403997;-0,678726047081927;0,734391552928369;0,542261531171976;0,457738468828027;0,00112996385564906;0,0013229117239855;0,000506996552423444;0,907439014897827;0,000417484062948053
"integration";-2,37212683005502;0,164586234855599;-0,997601627565437;0,0692169970367915;0,996541014909898;0,00345898509010548;0,00285286234935454;1,37338413627774e-05;0,000506996552423444;1,06360994526011;0,000573548020511162
"innovation";2,10577319059883;0,0323254909139775;0,999882195920468;0,0153490807953935;0,999830122604615;0,000169877395387582;0,00224816504271181;5,29779640453073e-07;0,000506996552423443;0,942628478707367;0,000450491000238372
"informatics";-0,143395522845147;1,02170719286773;-0,138986748309759;0,990294241018436;0,0265931853921245;0,973406814607876;8,34000242224019e-06;0,000423397115375238;0,000405597241938755;0,393588575581726;6,28318664889281e-05
"imply";-2,39256423628913;2,01108889482147;-0,765494474524017;0,643442467881316;0,662505286995088;0,337494713004915;0,00290223262257644;0,00205053667758784;0,000506996552423443;1,31571251360001;0,000877661437053156
"imagine";-1,47245934467743;-0,231166445925901;-0,987899752856432;-0,155093772622242;0,982539554798657;0,0174604452013457;0,0010992377416994;2,70928441097204e-05;0,000506996552423443;0,664906171160114;0,000224143285564187
"huge";1,20610570522124;0,428078171695477;0,942401842100283;0,334482836638881;0,916735166645221;0,0832648333547806;0,00073752330773029;9,29075852170666e-05;0,000506996552423444;0,563839501999151;0,000161181800859182
"hard";2,10577319059883;0,0323254909139776;0,999882195920468;0,0153490807953935;0,999830122604615;0,000169877395387583;0,00179853203416945;4,23823712362462e-07;0,000405597241938755;0,942628478707367;0,000360392800190698
"gather";-1,49289675091153;1,61533621403997;-0,678726047081927;0,734391552928369;0,542261531171976;0,457738468828027;0,00112996385564906;0,0013229117239855;0,000506996552423444;0,907439014897827;0,000417484062948053
"gain";2,10577319059883;0,0323254909139775;0,999882195920468;0,0153490807953935;0,999830122604615;0,000169877395387582;0,00224816504271181;5,29779640453073e-07;0,000506996552423443;0,942628478707367;0,000450491000238372
"function";-0,893118427326474;1,35150109351898;-0,551327026900212;0,834289224076023;0,377210772052838;0,622789227947165;0,000242646681777564;0,00055563431528584;0,000304197931454066;0,65089221864596;0,000128876702583815
"foster";-0,893118427326474;1,35150109351898;-0,551327026900212;0,834289224076023;0,377210772052838;0,622789227947165;0,000242646681777564;0,00055563431528584;0,000304197931454066;0,65089221864596;0,000128876702583815
"finding";-1,47245934467743;-0,231166445925901;-0,987899752856432;-0,155093772622242;0,982539554798657;0,0174604452013457;0,0010992377416994;2,70928441097204e-05;0,000506996552423443;0,664906171160114;0,000224143285564187
