"";"V1"
"639";3
"640";1
"641";3
"642";1
"643";1
"644";3
"645";3
"646";1
"647";3
"648";1
"649";1
"650";3
"651";0
"652";3
"653";1
"654";1
"655";1
"656";3
"657";0
"658";2
"659";3
"660";3
"661";1
"662";1
"663";3
"664";1
"665";1
"666";3
"667";1
"668";1
"669";1
"670";1
"671";0
"672";2
"673";1
"674";3
"675";1
"676";1
"677";3
"678";2
"679";1
"680";1
"681";3
"682";1
"683";3
"684";3
"685";0
"686";0
"687";3
"688";2
"689";1
"690";1
"691";2
"692";1
"693";2
"694";3
"695";3
"696";1
"697";3
"698";3
"699";1
"700";1
"701";3
"702";1
"703";3
"704";1
"705";3
"706";1
"707";1
"708";1
"709";1
"710";3
"711";2
"712";1
"713";0
"714";0
"715";1
"716";3
"717";1
"718";1
"719";1
"720";2
"721";1
"722";1
"723";1
"724";3
"725";0
"726";1
"727";0
"728";1
"729";2
"730";1
"731";2
"732";3
"733";3
"734";3
"735";1
"736";3
"737";2
"738";1
"739";2
"740";1
"741";2
"742";3
"743";2
"744";1
"745";2
"746";3
"747";3
"748";1
"749";1
"750";2
"751";3
"752";1
"753";3
"754";1
"755";3
"756";0
"757";0
"758";1
"759";2
"760";3
"761";1
"762";2
"763";2
"764";1
"765";0
"766";1
"767";3
"768";1
"769";1
"770";1
"771";3
"772";3
"773";1
"774";3
"775";1
"776";3
"777";1
"778";1
"779";1
"780";3
"781";3
"782";3
"783";1
"784";3
"785";0
"786";3
"787";3
"788";2
"789";3
"790";1
"791";3
