"";"Coord. facteur 1";"Coord. facteur 2";"Corr. facteur 1";"Corr. facteur 2";"COR -facteur 1";"COR -facteur 2";"CTR -facteur 1";"CTR -facteur 2";"mass";"chi.distance";"inertie"
"classe 1";0,94254840967135;0,0122859389616662;0,999915057694709;0,013033702290126;0,999877510607694;0,000122489392306982;0,470412874557431;7,99260915228788e-05;0,529507199351044;0,421912446779481;0,0942576362570652
"classe 2";-1,02517754612412;-2,74464445697981;-0,349907021679629;-0,93678443421061;0,162129042468806;0,837870957531195;0,109660077277258;0,786000032233998;0,104339890488745;1,13962180280665;0,135510165400712
"classe 3";-1,07091667137693;0,76435391109787;-0,81394427757377;0,58094295159242;0,731368842604821;0,268631157395186;0,419927048165311;0,21392004167448;0,366152910160211;0,560505043543031;0,115032759963094
