"V1";"V2";"V3";"V4";"V5";"V6"
"  0";"  4";" 0.00";" -3.368";"again";"6.646105e-02"
"  0";"  4";" 0.00";" -3.368";"2009";"6.646105e-02"
" 62";"158";"39.24";" -3.259";"new";"7.102564e-02"
" 12";" 38";"31.58";" -3.166";"its";"7.518343e-02"
"  9";" 30";"30.00";" -3.060";"would";"8.024020e-02"
" 21";" 60";"35.00";" -2.947";"also";"8.601883e-02"
"  5";" 19";"26.32";" -2.918";"allow";"8.762002e-02"
"  1";"  7";"14.29";" -2.790";"each";"9.485397e-02"
"  1";"  7";"14.29";" -2.790";"since";"9.485397e-02"
"  1";"  7";"14.29";" -2.790";"last";"9.485397e-02"
" 10";" 32";"31.25";" -2.769";"they";"9.610079e-02"
"  2";" 10";"20.00";" -2.674";"without";"1.019998e-01"
"  2";" 10";"20.00";" -2.674";"across";"1.019998e-01"
"  9";" 29";"31.03";" -2.575";"it_s";"1.085942e-01"
"  0";"  3";" 0.00";" -2.523";"d";"1.122114e-01"
"  0";"  3";" 0.00";" -2.523";"01";"1.122114e-01"
"  0";"  3";" 0.00";" -2.523";"plus";"1.122114e-01"
"  0";"  3";" 0.00";" -2.523";"look";"1.122114e-01"
"  0";"  3";" 0.00";" -2.523";"isn_t";"1.122114e-01"
"  0";"  3";" 0.00";" -2.523";"entirely";"1.122114e-01"
"  0";"  3";" 0.00";" -2.523";"com";"1.122114e-01"
"  0";"  3";" 0.00";" -2.523";"certain";"1.122114e-01"
"  0";"  3";" 0.00";" -2.523";"already";"1.122114e-01"
"  0";"  3";" 0.00";" -2.523";"almost";"1.122114e-01"
"  6";" 21";"28.57";" -2.521";"some";"1.123597e-01"
" 13";" 39";"33.33";" -2.490";"into";"1.146036e-01"
"  5";" 18";"27.78";" -2.357";"much";"1.247161e-01"
" 12";" 36";"33.33";" -2.288";"within";"1.303615e-01"
" 55";"138";"39.86";" -2.244";"or";"1.341736e-01"
"  4";" 15";"26.67";" -2.208";"together";"1.373093e-01"
"  3";" 12";"25.00";" -2.083";"others";"1.489814e-01"
"  1";"  6";"16.67";" -2.039";"were";"1.533545e-01"
"  1";"  6";"16.67";" -2.039";"themselves";"1.533545e-01"
"  1";"  6";"16.67";" -2.039";"else";"1.533545e-01"
"  1";"  6";"16.67";" -2.039";"before";"1.533545e-01"
"  1";"  6";"16.67";" -2.039";"always";"1.533545e-01"
"  1";"  6";"16.67";" -2.039";"whatever";"1.533545e-01"
"  1";"  6";"16.67";" -2.039";"down";"1.533545e-01"
"  6";" 20";"30.00";" -2.011";"don_t";"1.561121e-01"
"*";"*";"*";"*";"*";"*"
"61";"159";"38.36";"-4.256";"*year_2011-01-01";"0.0391082"
