"";"X";"V1"
"1";1;1
"2";2;0
"3";3;2
"4";4;0
"5";5;1
"6";6;4
"7";7;3
"8";8;5
"9";9;3
"10";10;0
"11";11;6
"12";12;7
"13";13;0
"14";14;3
"15";15;4
"16";16;3
"17";17;1
"18";18;0
"19";19;3
"20";20;3
"21";21;1
"22";22;2
"23";23;3
"24";24;6
"25";25;4
"26";26;2
"27";27;5
"28";28;2
"29";29;4
"30";30;1
"31";31;5
"32";32;5
"33";33;0
"34";34;6
"35";35;1
"36";36;1
"37";37;0
"38";38;0
"39";39;5
"40";40;2
"41";41;1
"42";42;4
"43";43;1
"44";44;4
"45";45;7
"46";46;2
"47";47;6
"48";48;4
"49";49;1
"50";50;3
"51";51;3
"52";52;1
"53";53;1
"54";54;2
"55";55;2
"56";56;5
"57";57;6
"58";58;0
"59";59;5
"60";60;0
"61";61;0
"62";62;4
"63";63;4
"64";64;7
"65";65;5
"66";66;4
"67";67;0
"68";68;2
"69";69;0
"70";70;4
"71";71;5
"72";72;3
"73";73;0
"74";74;0
"75";75;1
"76";76;2
"77";77;0
"78";78;2
"79";79;4
"80";80;5
"81";81;6
"82";82;4
"83";83;5
"84";84;2
"85";85;7
"86";86;2
"87";87;3
"88";88;0
"89";89;3
"90";90;0
"91";91;7
"92";92;1
"93";93;4
"94";94;7
"95";95;4
"96";96;0
"97";97;7
"98";98;3
"99";99;3
"100";100;7
"101";101;4
"102";102;0
"103";103;4
"104";104;5
"105";105;5
"106";106;0
"107";107;0
"108";108;4
"109";109;0
"110";110;0
"111";111;2
"112";112;7
"113";113;0
"114";114;0
"115";115;2
"116";116;0
"117";117;3
"118";118;6
"119";119;5
"120";120;1
"121";121;0
"122";122;3
"123";123;1
"124";124;3
"125";125;2
"126";126;0
"127";127;7
"128";128;1
"129";129;1
"130";130;3
"131";131;5
"132";132;1
"133";133;0
"134";134;7
"135";135;5
"136";136;3
"137";137;1
"138";138;0
"139";139;4
"140";140;7
"141";141;0
"142";142;2
"143";143;4
"144";144;0
"145";145;3
"146";146;2
"147";147;5
"148";148;6
"149";149;7
"150";150;3
"151";151;3
"152";152;3
"153";153;2
"154";154;7
"155";155;1
"156";156;2
"157";157;0
"158";158;4
"159";159;1
"160";160;2
"161";161;1
"162";162;5
"163";163;5
"164";164;3
"165";165;4
"166";166;5
"167";167;7
"168";168;7
"169";169;4
"170";170;3
"171";171;3
"172";172;3
"173";173;3
"174";174;7
"175";175;5
"176";176;3
"177";177;2
"178";178;0
"179";179;4
"180";180;3
"181";181;4
"182";182;0
"183";183;4
"184";184;0
"185";185;6
"186";186;1
"187";187;4
"188";188;3
"189";189;1
"190";190;1
"191";191;4
"192";192;3
"193";193;7
"194";194;0
"195";195;2
"196";196;2
"197";197;3
"198";198;2
"199";199;4
"200";200;7
"201";201;5
"202";202;4
"203";203;1
"204";204;5
"205";205;3
"206";206;0
"207";207;3
"208";208;0
"209";209;2
"210";210;3
"211";211;0
"212";212;1
"213";213;4
"214";214;2
"215";215;7
"216";216;0
"217";217;4
"218";218;4
"219";219;7
"220";220;1
"221";221;4
"222";222;0
"223";223;2
"224";224;7
"225";225;3
"226";226;5
"227";227;4
"228";228;7
"229";229;4
"230";230;2
"231";231;0
"232";232;6
"233";233;5
"234";234;3
"235";235;1
"236";236;3
"237";237;4
"238";238;0
"239";239;3
"240";240;7
"241";241;7
"242";242;1
"243";243;1
"244";244;2
"245";245;5
"246";246;0
"247";247;3
"248";248;0
"249";249;6
"250";250;0
"251";251;4
"252";252;5
"253";253;2
"254";254;2
"255";255;7
"256";256;0
"257";257;6
"258";258;0
"259";259;4
"260";260;5
"261";261;1
"262";262;6
"263";263;7
"264";264;3
"265";265;7
"266";266;0
"267";267;4
"268";268;1
"269";269;7
"270";270;5
"271";271;5
"272";272;7
"273";273;5
"274";274;1
"275";275;5
"276";276;5
"277";277;5
"278";278;0
"279";279;2
"280";280;7
"281";281;2
"282";282;6
"283";283;7
"284";284;4
"285";285;7
