"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"mass";"chi.distance";"inertie"
"classe 1";0,976589936153579;-0,844203550577508;-2,47438452962337;0,0729769207263658;0,0993406107687531;-0,0650086191680109;0,349487006050179;-0,302110599818701;-0,885494729221702;0,026115859473088;0,0355504919224438;-0,023264286103509;0,158470352812639;0,10276475590862;0,736980009011813;0,000559255294554354;0,000907351198870921;0,000318275773504069;0,108274735897744;0,0809090296757571;0,695083577055773;0,0006046077539399;0,00112035664828663;0,00047978263668322;0,113527910331817;1,10978126228666;0,139822614856885
"classe 2";0,82918144761716;0,0884826147956666;0,591298033172762;-0,714822670503941;-2,00924538573059;0,310866356353505;0,347620697229852;0,0370948823522056;0,247891984502116;-0,29967765900982;-0,842343113079411;0,130325611904914;0,193768842588972;0,001914815785507;0,0713831073933178;0,0910116373144472;0,629577185099245;0,012344411818505;0,102776484633075;0,0011703358333251;0,0522645812178189;0,0763820378991034;0,603476781272592;0,0144458151001379;0,149483964043946;0,852131774386259;0,10854457569165
"classe 3";1,4921562524119;0,293085443141017;1,00972450343983;0,468506511933647;0,852925226902899;-2,6108139128577;0,447965676153834;0,0879882508921524;0,303133079515897;0,140652050387881;0,256059796258354;-0,783801976431548;0,333790092790122;0,0111753116641945;0,110725695214377;0,0207965646029118;0,0603482923530115;0,463164043375385;0,184082239462976;0,00710185466107745;0,0842925271080762;0,0181474056191935;0,0601457856843952;0,563553459021267;0,0826767284430141;1,16836015494769;0,11285914565461
"classe 4";1,22512115649755;0,392497594855184;0,774122155570214;0,648933619776229;1,32314257700887;1,97537209307949;0,424526278633945;0,136007400111352;0,268247100435219;0,224867045371776;0,458492444882391;0,684501576962243;0,295908002904485;0,0263571799455757;0,0855884998493776;0,0524704369194888;0,190989789859153;0,348686090521917;0,160902286678789;0,0165149832049964;0,0642426032566148;0,0451444832114193;0,187679754256408;0,418313581101903;0,107202308289868;1,01882557901789;0,111276592099152
"classe 5";-0,980690994097936;-1,40364241567115;0,51703008597341;0,87275956005357;-0,13043224662119;-0,0210772691034074;-0,491671538674412;-0,703719143354126;0,259214145374444;0,437559882130914;-0,065392487312468;-0,0105671341875217;0,286560633089331;0,509438110594027;0,0577007652523177;0,143435576460907;0,00280491905904278;5,99955443773077e-05;0,193183468525989;0,395747838890111;0,0536954165731912;0,153001192086724;0,00341724042116948;8,92348023384741e-05;0,200865608700477;0,828749117283225;0,13795954166129
"classe 6";-0,671404691248303;-0,555314974121272;0,29835887298153;-2,78129220881964;1,26845503159651;-0,0323620897358907;-0,210288999764726;-0,17392882710608;0,0934482433442121;-0,87112164134374;0,397289657516433;-0,0101360499406162;0,0686903529374964;0,0407785786541076;0,00982658713021732;0,744964784223192;0,135667363754109;7,23333008791901e-05;0,0402709276263827;0,0275487348783779;0,00795244742591069;0,691060593988113;0,143738477924971;9,35612480212455e-05;0,0893352569082233;1,15887248946694;0,119975949917751
"classe 7";-0,905205565475932;1,35401906905973;-0,406580208459833;0,246889392472647;-0,0405100940481153;-0,108503197460279;-0,532249167285317;0,796145703784497;-0,239063905085093;0,14516777024681;-0,0238194114642046;-0,063798477051634;0,318219982463545;0,617886758706337;0,0465075298314368;0,0149607504396059;0,000352661255606038;0,00207231730347041;0,210509857175043;0,471007222856355;0,042468847362615;0,0156596794415061;0,000421603792177033;0,0030245660896489;0,256908223282655;0,725909779793936;0,135376505875831
