"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"76";2;4;6;8;11;12;15;17;19;21;23;24;24;24;24;24;24;24;24
"77";2;4;6;8;11;12;15;17;19;21;22;22;22;22;22;22;22;22;22
"78";2;4;6;8;11;12;15;17;19;21;23;24;24;24;24;24;24;24;24
"79";2;4;6;8;11;12;15;17;19;21;23;25;25;28;31;31;31;31;31
"80";2;4;6;8;11;12;14;14;14;14;14;14;27;27;27;32;34;34;34
"81";2;4;6;8;11;12;14;14;14;14;14;14;27;27;27;32;35;35;35
"82";2;4;6;8;11;12;15;17;19;21;23;25;25;28;31;31;31;31;31
"83";2;4;6;8;11;12;14;14;14;14;14;14;27;27;27;32;34;34;34
"84";2;4;6;8;11;12;15;17;19;21;23;24;24;24;24;24;24;24;24
"85";2;4;6;8;11;12;14;14;14;14;14;14;26;26;26;26;26;36;39
"86";2;4;6;8;11;12;15;17;19;21;23;24;24;24;24;24;24;24;24
"87";2;4;6;8;11;12;15;17;19;21;23;25;25;28;30;30;30;30;30
"88";2;4;6;8;11;12;14;14;14;14;14;14;27;27;27;33;33;33;33
"89";2;4;6;8;11;12;15;17;19;21;23;25;25;28;30;30;30;30;30
"90";2;4;6;8;11;12;14;14;14;14;14;14;27;27;27;33;33;33;33
"91";2;4;6;8;11;12;14;14;14;14;14;14;26;26;26;26;26;36;39
"92";2;4;6;8;11;12;15;17;18;18;18;18;18;18;18;18;18;18;18
"93";2;4;6;8;11;12;15;17;19;21;23;25;25;28;31;31;31;31;31
"94";2;4;6;8;11;12;14;14;14;14;14;14;26;26;26;26;26;36;39
"95";2;4;6;8;11;12;15;17;19;21;23;25;25;28;31;31;31;31;31
"96";2;4;6;8;11;13;13;13;13;13;13;13;13;13;13;13;13;13;13
"97";2;4;6;8;11;12;14;14;14;14;14;14;26;26;26;26;26;36;39
"98";2;4;6;8;11;12;15;17;19;21;23;25;25;28;30;30;30;30;30
"99";2;4;6;8;11;12;15;17;19;21;23;25;25;28;30;30;30;30;30
"100";2;4;6;8;11;12;14;14;14;14;14;14;26;26;26;26;26;36;39
"101";2;4;6;8;11;12;15;17;19;21;23;25;25;28;31;31;31;31;31
"102";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"103";2;4;6;8;11;12;15;17;19;21;23;25;25;28;31;31;31;31;31
"104";2;4;6;8;11;12;14;14;14;14;14;14;27;27;27;32;34;34;34
"105";2;4;6;8;11;12;14;14;14;14;14;14;27;27;27;32;34;34;34
"106";2;4;6;8;11;12;15;17;19;20;20;20;20;20;20;20;20;20;20
"107";2;4;6;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
"108";2;4;6;8;11;12;15;17;19;21;23;25;25;28;31;31;31;31;31
"109";2;4;6;8;11;12;15;17;19;21;23;25;25;29;29;29;29;29;29
"110";2;4;6;8;11;12;15;17;19;21;23;25;25;29;29;29;29;29;29
"111";2;4;6;8;11;12;15;17;19;21;23;24;24;24;24;24;24;24;24
"112";2;4;6;8;11;12;14;14;14;14;14;14;26;26;26;26;26;36;39
"113";2;4;6;8;11;12;15;17;19;21;23;25;25;29;29;29;29;29;29
"114";2;4;6;8;11;12;15;17;19;21;23;25;25;29;29;29;29;29;29
